bank,no,komponen_otomatis,kalimat_tanya_yang_dinilai,komponen_koreksi_manual
kedkel-2021,2,Pharmacology,apa yang sebaiknya dilakukan oleh dokter tersebut?,
kedkel-2021,3,Pharmacology,apa yang sebaiknya dilakukan oleh dokter tersebut?,
kedkel-2021,4,Pharmacology,mana jawaban yang sesuai dengan gambar di atas?,
kedkel-2021,5,Pharmacology,"dalam edukasi minggu depan, apa yang disarankan oleh dokter terkait kondisi pasien?",
kedkel-2021,6,Pharmacology,"dalam memilih obat esensial, diperlukan pertimbangan sebagai berikut:",
kedkel-2021,7,Pharmacology,"bila merujuk pada rum (rational use of medicine), tindakan dokter dianggap tidak rasional karena?",
kedkel-2021,8,Pharmacology,kasus ini termasuk insiden keselamatan pasien kategori?,
kedkel-2021,9,Recall,apa kegiatan yang dilakukan dalam laboratorium yang mempunyai fungsi mengurangi kesalahan pada tahap analitik?,
kedkel-2021,10,Pharmacology,"apa nama sediaan obat cair yang mengandung air, bahan padat dan zat pensuspensi, sifatnya homogen dan digunakan untuk pemakaian dalam?",
kedkel-2021,11,Pharmacology,bagaimanakah strategi penatalaksanaan pasien dengan pendekatan dokter keluarga?,
kedkel-2021,12,Recall,bagaimanakah tahapan yang dilakukan dalam pembentukan ukk (upaya kesehatan kerja)?,
kedkel-2021,13,Diagnostics,berikut yang bukan merupakan syarat sebuah tes skrining yang baik adalah?,
kedkel-2021,14,Recall,cara mengidentifikasi faktor risiko kesehatan pekerja di perusahaan diantaranya:,
kedkel-2021,15,Pharmacology,"daftar obat esensial sangat diperlukan untuk, kecuali:",
kedkel-2021,16,Pharmacology,"dalam memilih obat esensial, diperlukan pertimbangan sebagai berikut:",
kedkel-2021,17,Recall,"di saat pandemi covid-19, salah satu tugas yang dapat dikerjakan oleh dokter keluarga adalah pemeriksaan secara:",
kedkel-2021,18,Recall,dibawah ini mana yang bukan termasuk metode pengukuran aktivitas fisik secara objektif?,
kedkel-2021,19,Recall,dibawah ini yang bukan merupakan ketentuan pengisian metode bouchard adalah?,
kedkel-2021,20,Diagnostics,dibawah ini yang tidak termasuk contoh uji skrining adalah?,
kedkel-2021,21,Recall,hal ini disebut pelayanan:,
kedkel-2021,22,Recall,"dokter keluarga di indonesia sebagai salah satu fungsi pelayanannya diminta oleh bpjs, hal ini karena dokter keluarga dalam pelayanannya meliputi:",
kedkel-2021,23,Recall," sosialisasi mencuci tangan, menjaga kebersihan dan social distancing terkait penyebaran covid-19, hal yang dilakukan dokter tersebut merupakan salah satu dari:",
kedkel-2021,24,Recall,"gangguan kesehatan yang disebabkan dan keparahannya tergantung dari pajanan lingkungan atau berbagai faktor di tempat kerja, diantaranya:",
kedkel-2021,25,Recall,istilah ta min yang digunakan untuk maksud pengertian asuransi syariah diambil dari ayat al-qur an pada surat:,
kedkel-2021,26,Diagnostics,kemampuan tes untuk menunjukkan individu mana yang sakit dari seluruh populasi yang benar-benar sakit pada pemeriksaan uji diagnostik disebut sebagai?,
kedkel-2021,27,Recall,apa pemeriksaan yang diinginkan oleh dokter perusahaan tersebut?,
kedkel-2021,28,Recall,"komunikasi efektif merupakan bagian dari hubungan dokter dan pasien, tahapan dibawah ini sangat penting dilakukan pada awal komunikasi efektif:",
kedkel-2021,29,Diagnostics,laporan diagnosis okupasi diantaranya akan mencantumkan tindakan preventif yang dilakukan yaitu:,
kedkel-2021,30,Pharmacology,mana yang sesuai dengan kaidah pengobatan rasional?,
kedkel-2021,31,Recall,manfaat asuransi diantaranya:,
kedkel-2021,32,Diagnostics,masalah apa yang harus digali dari aspek personal dalam diagnosis holistik?,
kedkel-2021,33,Recall," asuransi sudah dikenal sejak pra dan awal keislaman, yaitu praktik yang dijalankan kaum quraysh dalam mengamankan jalur perdagangannya. hal ini dikenal dengan:",
kedkel-2021,34,Anatomy,n dilihat dari kondisi kerusakan anatomis organ tersebut?,
kedkel-2021,35,Diagnostics,n dalam kuadran sakit dan penyakit?,
kedkel-2021,36,Pharmacology,apa yang mempengaruhi perilaku pencarian pengobatan ny. n pada kasus diatas?,
kedkel-2021,37,Pharmacology,bagaimanakah rencana strategis penatalaksanaan pasien di atas?,
kedkel-2021,38,Diagnostics,"pada tujuh langkah diagnosis penyakit akibat kerja (pak), faktor pajanan yang dialami yang dievaluasi mencakup:",
kedkel-2021,39,Recall,siapakah yang memberikan perizinan tersebut menurut peraturan?,
kedkel-2021,40,Pharmacology,kelebihan bentuk sediaan tersebut adalah:,
kedkel-2021,41,Recall,termasuk faktor apa kondisi kamar pasien pada kasus di atas dalam tinjauan pengaruh lingkungan terhadap timbulnya sakit?,
kedkel-2021,42,Pharmacology,"pasien diberikan tablet sustained release teofilin, kelebihan tablet tersebut adalah:",
kedkel-2021,43,Pharmacology,olahraga/aktivitas fisik apa yang akan direkomendasikan pada pasien ini?,
kedkel-2021,44,Recall,pada tahun 2004 disusun kurikulum berbasis kompetensi di seluruh wilayah indonesia dan semua fk menghasilkan lulusan dokter:,
kedkel-2021,45,Pharmacology,penatalaksanaan pasien dengan pendekatan kedokteran keluarga berarti?,
kedkel-2021,46,Recall,"berdasarkan gambar forest plot meta-analisis, mana studi yang mempunyai nilai p < 0.05 (bermakna secara statistik)?",
kedkel-2021,47,Recall,"peneliti membutuhkan nilai gabungan (pooled effect size) odds ratio dari studi a sampai f yang dilakukan, nilai gabungan tersebut ditunjukkan dengan gambar?",
kedkel-2021,48,Recall,"peneliti membutuhkan nilai odds ratio dari masing-masing studi individu yang dilakukan, nilai odds ratio individu ditunjukkan dengan gambar?",
kedkel-2021,49,Recall,mana dari pernyataan berikut yang benar?,
kedkel-2021,50,Recall,prinsip bagi hasil atas investasi pada akad asuransi syariah adalah akad:,
kedkel-2021,51,Recall,"prinsip pencegahan 5 level of prevention dapat diterapkan pada pencegahan pak, contoh pencegahan tingkat awal/promosi kesehatan diantaranya:",
kedkel-2021,52,Recall,program jaminan sosial wajib dari pemerintah (bpjs ketenagakerjaan) untuk seorang pekerja meliputi:,
kedkel-2021,53,Recall,pernyataan yang tidak benar dari pembuatan bentuk sediaan tersebut adalah:,
kedkel-2021,54,Pharmacology,hal apa yang dilihat untuk menilai kecocokan pasien?,
kedkel-2021,55,Recall,"ga adalah mengidentifikasi dan menentukan masalah kesehatan pasien dari aspek fisik, psikis, spiritual, sosial, kultural dan lingkungan. hal ini disebut dengan?",
kedkel-2021,56,Recall,mana yang menjadi persyaratan pembentukan pos ukk?,
kedkel-2021,57,Pharmacology,mana pernyataan yang sesuai?,
kedkel-2021,58,Pharmacology,"berdasarkan data penelitian antibiotik a vs kontrol (eer = 0,8 dan cer = 0,6), mana pernyataan di bawah ini yang sesuai?",
kedkel-2021,59,Pharmacology,mana pernyataan berikut yang sesuai?,
kedkel-2021,60,Pharmacology,mana pernyataan yang benar?,
kedkel-2021,61,Diagnostics,mana pernyataan yang benar?,
kedkel-2021,62,Diagnostics,berapakah nilai likelihood ratio positive (lr+)?,
kedkel-2021,63,Diagnostics,"berdasarkan data tersebut, mana pernyataan di bawah ini yang benar?",
kedkel-2021,64,Diagnostics,"hasil menunjukkan dari 100 subjek yang positif pcr (gold standard), 75 diantaranya menunjukkan ns1 positif. parameter apa ini?",
kedkel-2021,65,Diagnostics,"hasil penelitian menunjukkan dari 100 subjek yang positif ns1 (hasil tes), 75 diantaranya terbukti pcr positif (gold standard). parameter apa ini?",
kedkel-2021,66,Recall,apa tujuan dibuat dalam bentuk dry syrup?,
kedkel-2021,67,Recall,mana yang merupakan risiko internal pada kasus tersebut?,
kedkel-2021,68,Pharmacology,bentuk sediaan obat yang cocok adalah sediaan obat cair berupa sirup tetes (drops). apa alasannya?,
kedkel-2021,69,Diagnostics,"untuk memastikan apa penyakit juga diderita oleh anggotanya yang tinggal serumah, maka sebaiknya dokter keluarga melakukan apa?",
kedkel-2021,70,Pharmacology,pemberian cefadroxil dianggap tidak rasional karena?,
kedkel-2021,71,Pharmacology,terapi seperti ini dikategorikan sebagai terapi?,
kedkel-2021,72,Diagnostics,apa diagnosis pasien ini sesuai pendekatan diagnosis holistik?,
kedkel-2021,73,Recall,aspek personal apa yang merugikan pasien pada kasus ini?,
kedkel-2021,74,Diagnostics,apa yang harus ditanyakan kepada pasien?,
kedkel-2021,75,Diagnostics,"dalam kasus di atas, hal apa yang tidak perlu dijelaskan kepada keluarga/pasien?",
kedkel-2021,76,Recall,apa distorsi kognitif pada kasus ini menurut beck?,
kedkel-2021,77,Recall,"dalam konsep cbt menurut ellis (rebt), apa yang dilakukan pada distorsi kognitif personalization pasien di atas?",
kedkel-2021,78,Recall,apa distorsi kognitif pasien ini?,
kedkel-2021,79,Diagnostics,mana alat diagnostik yang paling sesuai?,
kedkel-2021,80,Diagnostics,hal tersebut merupakan fase respons berduka kübler-ross tingkat:,
kedkel-2021,81,Recall,"seorang pasien datang ke klinik dokter keluarga, dokter tersenyum, memberi salam dan bertanya bagaimana kabar. hal ini bertujuan untuk:",
kedkel-2021,82,Recall,tujuan utama pemberian bentuk sediaan sublingual tersebut adalah:,
kedkel-2021,83,Recall,"menurut konsep mandala of health, faktor penyebab keputusan/perilaku ini termasuk aspek?",
kedkel-2021,84,Recall,a untuk isolasi mandiri di rumah sesuai dengan pilihannya?,
kedkel-2021,85,Recall,jenis jaminan asuransi yang mengover biaya perawatan tersebut adalah:,
kedkel-2021,86,Recall,apa tipe struktur keluarga pada kasus ini?,
kedkel-2021,87,Pharmacology,insiden keselamatan pasien ini termasuk kategori?,
kedkel-2021,88,Pharmacology,insiden keselamatan pasien ini termasuk kategori?,
kedkel-2021,89,Recall,tipe struktur keluarga pada kasus ini adalah:,
kedkel-2021,90,Recall,"rkan kasus remaja 15 tahun yang mengalami parentifikasi (mengurus adik dan rumah tangga), apa solusi yang akan ditawarkan oleh terapis kepada keluarga tersebut?",
kedkel-2021,91,Pharmacology,bentuk sediaan obat tersebut adalah:,
kedkel-2021,92,Pharmacology,apa yang sebaiknya dilakukan dokter tersebut?,
kedkel-2021,93,Diagnostics,"suatu hasil tes diagnostik dinyatakan positif palsu (false positive), jika?",
kedkel-2021,94,Pharmacology,suatu obat dapat diusulkan untuk dimasukkan ke dalam daftar obat esensial apabila:,
kedkel-2021,95,Pharmacology,tahap uji klinis yang dilakukan untuk menilai efektivitas dan keamanan suatu pengobatan pada kelompok pasien skala besar dibandingkan standar terapi adalah?,
kedkel-2021,96,Recall,mana dari kondisi sanitasi di rumah pasien berikut di bawah yang tidak memenuhi syarat kesehatan?,
kedkel-2021,97,Recall,"dalam perencanaan edukasi kesehatan minggu depan, siapakah yang menjadi sasaran kegiatan ini?",
kedkel-2021,98,Diagnostics,mana yang merupakan urutan 7 langkah penegakan diagnosis penyakit akibat kerja (pak) yang benar?,
kedkel-2021,99,Recall,"untuk mengetahui besarnya pajanan yang dialami pekerja (langkah 4 pak), maka data obyektif/anamnesis lengkap yang diperlukan diantaranya:",
kedkel-2021,100,Recall,mana pernyataan dibawah ini yang tidak benar mengenai upaya kesehatan kerja?,
kedkel-2022,1,Diagnostics,reaksi tersebut merupakan jawaban tentang breaking bad news (bbn):,
kedkel-2022,2,Recall,mana alasan yang paling tepat untuk dokter melakukan hal tersebut?,
kedkel-2022,3,Recall,mana pernyataan dibawah ini yang tidak benar untuk upaya kesehatan kerja?,
kedkel-2022,4,Pharmacology,bagaimanakah rencana strategis penatalaksanaan pasien di atas?,
kedkel-2022,5,Recall,pengertian anomi ialah:,
kedkel-2022,6,Pharmacology,"daftar obat esensial sangat diperlukan untuk, kecuali:",
kedkel-2022,7,Pharmacology,bentuk sediaan obat yang cocok adalah sediaan obat cair berupa sirup dengan diteteskan. apa alasannya?,
kedkel-2022,8,Recall,"resiko bagi orang yang berumur panjang ialah, kecuali:",
kedkel-2022,9,Recall,"setiap gerakan tubuh yang dihasilkan oleh otot rangka yang meningkatkan pengeluaran energi, merupakan definisi aktifitas fisik menurut:",
kedkel-2022,10,Pharmacology,faktor pajanan/paparan apa yang bisa di tekan dengan penggunaan masker sebagai apd dalam bekerja pada perusahaan tersebut?,
kedkel-2022,11,Recall,apa kegiatan yang dilakukan dalam laboratorium yang mempunyai fungsi mengurangi kesalahan pada tahap analitik?,
kedkel-2022,12,Recall,mana kalimat dibawah yang paling tepat ?,
kedkel-2022,13,Recall,masalah apa yang harus digali dari aspek personal dalam diagosis holistik?,
kedkel-2022,14,Pharmacology,hal apa yang dilihat untuk menilai keamanan tersebut?,
kedkel-2022,15,Diagnostics,apa yang harus ditanyakan kepada pasien untuk mengetahui hal tersebut?,
kedkel-2022,16,Recall,apa tujuan dari pelayanan laboratorium pada klinik dokter keluarga?,
kedkel-2022,17,Pharmacology,cara menyampaikan usulan obat agar bisa masuk ke doen:,
kedkel-2022,18,Pharmacology,suatu obat dapat diusulkan untuk dimasukkan sebagai obat esensial apabila:,
kedkel-2022,19,Recall,"dari 10 aspek penilaian phbs, kategori phbs keluarga tersebut termasuk baik jika:",
kedkel-2022,20,Recall,mana yang menjadi persyaratan pembentukan pos ukk untuk perusahaan tn ali adalah?,
kedkel-2022,21,Diagnostics,masalah kebiasaan seorang istri dalam memilih menu makanan sehari-hari pasien hipertensi termasuk aspek apa dalam diagnosis holistic?,
kedkel-2022,22,Recall,berapa lama sediaan sirup kering yang sudah ditambahkan cairan masih boleh digunakan?,
kedkel-2022,23,Recall,"peneliti dapat mengambil kesimpulan berdasarkan gambar, studi yang mempunyai nilai p < 0.05 adalah:",
kedkel-2022,24,Recall,"kasus di atas, hal yang tidak perlu dijelaskan kepada keluarga dan atau pasien:",
kedkel-2022,25,Pharmacology,"pada penyusunan daftar obat esensial nasional (doen), tim ahli bertugas:",
kedkel-2022,26,Recall,"menurut mandala of health, faktor penyebab termasuk aspek?",
kedkel-2022,27,Pharmacology,kelebihan bentuk sediaan tersebut adalah:,
kedkel-2022,28,Recall,salah satu prinsip layanan dokter keluarga adalah mengidentifikasi masalah kesehatan pasien dari berbagai aspek. hal ini disebut dengan?,
kedkel-2022,29,Recall,berikut adalah manfaat dari asuransi yang dimilikinya:,
kedkel-2022,30,Pharmacology,terapi seperti ini dikategorikan sebagai terapi?,
kedkel-2022,31,Recall,"diantara faktor penyebab perilaku menyimpang ialah, kecuali:",
kedkel-2022,32,Diagnostics,"jika dokter perusahaan akan membuat laporan diagnosis okupasi, data apa yang dapat mendukung?",
kedkel-2022,33,Pharmacology,siapakah yang menjadi sasaran kegiatan ini?,
kedkel-2022,34,Diagnostics,kemampuan tes untuk menunjukan individu mana yang sakit dari seluruh populasi yang benar-benar sakit pada pemeriksaan uji diagnostik disebut sebagai ?,
kedkel-2022,35,Recall,"keluarga dalam pelayanan home care pasien pasca bedah membuat tim yang terdiri dari dokter spesialis bedah, penyakit dalam, gizi, hubungan para dokter, disebut:",
kedkel-2022,36,Pharmacology,tahap uji klinis yang dilakukan untuk melihat efektifitas suatu pengobatan adalah?,
kedkel-2022,37,Pharmacology,apa yang sebaiknya dilakukan oleh dokter tersebut:,
kedkel-2022,38,Recall,"klinik dokter keluarga dikenal dengan sadar biaya dan sadar mutu, merupakan salah satu dari 9 prinsip layanan dokter keluarga:",
kedkel-2022,39,Diagnostics,berikut yang bukan merupakan syarat sebuah tes skrining yang baik adalah?,
kedkel-2022,40,Pharmacology,"if berupa zat padat tidak larut dalam air, mengandung zat pensuspensi, sifatnya homogen dan digunakan untuk pemakaian dalam (ditelan) atau untuk pemakaian luar?",
kedkel-2022,41,Pharmacology,apa yang sebaiknya dilakukan oleh dokter tersebut?,
kedkel-2022,42,Pharmacology,terapi di atas tidak rasional karena ?,
kedkel-2022,43,Pharmacology,mana pernyataan yang paling tepat dibawah ini?,
kedkel-2022,44,Recall,apa syarat pendidikan minimal yang dibutuhkan agar syarat izin sesuai dengan peraturan?,
kedkel-2022,45,Recall,peluang bekerja bagi dokter di perusahaan asuransi jiwa syariah ialah terutama di bidang:,
kedkel-2022,46,Recall,andemi covid 19 tetap menggunakan sistem rujukan alur sistem pelayanan keperawatan berkesinambungan dimulai dari fasilitas kesehatan/ ppk tingkat i berikut ini:,
kedkel-2022,47,Pharmacology,berikut adalah jenis-jenis jaminan yang diberikan jamsostek sesuai dengan badan pelayanan no 3 tahun 1992:,
kedkel-2022,48,Recall,apa prinsip yang diterapkan dokter ketika merujuk ke rumah sakit?,
kedkel-2022,49,Recall,siapakah yang memberikan perizinan tersebut menurut peraturan?,
kedkel-2022,50,Pharmacology,bagaimanakah strategi penatalaksanaan pasien dengan pendekatan dokter keluarga?,
kedkel-2022,51,Recall,"investasi asuransi syariah yang diharamkan ialah, kecuali:",
kedkel-2022,52,Recall,berikut adalah beberapa program asuransi yang dikeluarkan oleh pemerintah:,
kedkel-2022,53,Recall,"peneliti membutuhkan nilai odds rasio dari masing-masing studi yang dilakukan, nilai odds ratio ditunjukkan dengan gambar:",
kedkel-2022,54,Recall,apa pemeriksaan yang diinginkan oleh dokter perusahan tersebut:,
kedkel-2022,55,Pharmacology,apa yang sebaiknya dilakukan oleh dokter tersebut:,
kedkel-2022,56,Pharmacology,bentuk sediaan obat yang diberikan intra vaginal:,
kedkel-2022,57,Recall,prinsip akad asuransi syariah ialah:,
kedkel-2022,58,Pharmacology,seorang atlit angkat besi sebaiknya dianjurkan untuk melakukan olahraga yang efektif untuk memperkuat otot bahu seperti:,
kedkel-2022,59,Pharmacology,dalam edukasi apa yang disarankan oleh dokter terkait dengan kondisi pasien?,
kedkel-2022,60,Recall,apa yang harus dilakukan tn b?,
kedkel-2022,61,Recall,a untuk isolasi mandiri di rumah?,
kedkel-2022,62,Recall,termasuk factor apa kondisi kamar pasien pada kasus di atas dalam tinjauan pengaruh lingkungan terhadap timbulnya sakit?,
kedkel-2022,63,Pharmacology,apa tujuan yang paling tepat untuk konseling yang dilakukan nn rina?,
kedkel-2022,64,Recall,"berikut ini, dari berbagai perspektif penjelasan perilaku manusia, maka perilaku dengan sengaja menularkan virus merupakan:",
kedkel-2022,65,Pharmacology,bila merujuk pada rum maka tidakan dokter dianggap tidak rasional karena?,
kedkel-2022,66,Recall,"keluhan diare dan sudah dehidrasi, yang dilakukan oleh dokter keluarga adalah :",
kedkel-2022,67,Recall,"puyer (pulveres) yang dibuat/disediaan untuk pasien harus halus dan homogen, pernyataan yang tidak benar dari pembuatan bentuk sediaan tersebut adalah:",
kedkel-2022,68,Pharmacology,mana jawaban yang sesuai?,
kedkel-2022,69,Recall,mana dibawah ini yang bukan menjadi prinsip dalam definisi konseling menurut who?,
kedkel-2022,70,Pharmacology,apa yang akan dijalani nn rina dalam proses alternatif pemecahan masalah dalam konseling?,
kedkel-2022,71,Pharmacology,mana sediaan obat di bawah ini yang perlu steril?,
kedkel-2022,72,Pharmacology,"dalam memilih obat esensial, diperlukan pertimbangan sebagai berikut:",
kedkel-2022,73,Recall,komunikasi semacam ini merupakan tahapan:,
kedkel-2022,74,Recall,kekecewaan pasien tersebut dapat dikatakan:,
kedkel-2022,75,Pharmacology,tujuan pemberian bentuk sediaan tersebut adalah:,
kedkel-2022,76,Diagnostics,"suatu diagnostik dinyatakan positif palsu, jika?",
kedkel-2022,77,Pharmacology,proses mana dibawah ini yang akan dijalani nn rina dalam konseling?,
kedkel-2022,78,Diagnostics,"jika dokter perusahaan akan membuat laporan diagnosis okupasi, mana dibawah ini yang akan dicantumkan dalam tindakan preventif?",
kedkel-2022,79,Diagnostics,mana dari kondisi sanitasi di rumah pasien ibu m berikut di bawah yang tidak memenuhi syarat:,
kedkel-2022,80,Pharmacology,berikut adalah jenis olahraga yang dianjurkan untuk memperbaiki keseimbangan pada kelompok umur diatas 65 tahun:,
kedkel-2022,81,Pharmacology,mana yang sesuai dengan kaidah pengobatan rasional?,
kedkel-2022,82,Recall,"peneliti membutuhkan nilai gabungan odds rasio dari studi a sampai f yang dilakukan, nilai odds ratio ditunjukkan dengan gambar:",
kedkel-2022,83,Recall,pada tingkatan apa tn b saat ini ?,
kedkel-2022,84,Diagnostics,untuk menegakan diagnosa pertanyaan apa yang paling tidak perlu diberikan?,
kedkel-2022,85,Recall,t perilaku kesehatan selama pandemi virus covid 19 dengan diterapkannya aplikasi teknologi untuk kepentingan pengendalian penyebaran virus tersebut berikut ini:,
kedkel-2022,86,Recall,mana dibawah ini yang merupakan bagian dari 7 langkah pak?,
kedkel-2022,87,Recall,dari kasus diatas apa yang paling mungkin terjadi pada nn l?,
kedkel-2022,88,Recall,mana yang merupakan risiko eksternal pada kasus tersebut?,
kedkel-2022,89,Pharmacology,"pasien diberikan tablet sustained release teofilin, kelebihan tablet tersebut adalah:",
kedkel-2022,90,Recall,pada tahun 2004 disusun kurikulum berbasis kompetensi diseluruh wilayah indonesia dan semua fk menghasilkan lulusan dokter:,
kedkel-2022,91,Diagnostics,dibawah ini yang tidak termasuk contoh uji skrining adalah?,
kedkel-2022,92,Pharmacology,penatalaksanaan pasien dengan pendekatan kedokteran keluarga berarti ?,
kedkom-2018,1,Recall,apa jenis survailans yang dilakukan oleh kepala dinas kesehatan tersebut?,
kedkom-2018,2,Pharmacology,apa yang menjadi pertimbangan anggota/konselinya untuk efektifitas konseling yang dilakukan?,
kedkom-2018,3,Diagnostics,bagaimanakah penegakan diagnosis kasus tersebut?,
kedkom-2018,4,Recall,alasan tunggal dari segi medis mana abortus dibolehkan dan disepakati oleh para ulama?,
kedkom-2018,5,Recall,apa pengertian sehat wal (dan) afiat dari perspektif islam?,
kedkom-2018,6,Recall,"i terjadi kontroversi hukum tentang aborsi pada fase tertentu sebelum fase peniupan ruh, antara yang membolehkan dan mengharamkannya menurut ulama fikih klasik?",
kedkom-2018,7,Recall,apa hukum aborsi akibat perzinaan?,
kedkom-2018,8,Diagnostics,apa tujuan pelaksanaan diagnosis komunitas?,
kedkom-2018,9,Recall,apa yang dapat menyebabkan masalah medis dapat diangkat menjadi area masalah pada masyarakat binaan?,
kedkom-2018,10,Recall,aspek kualitas udara termasuk dalam salah satu parameter persyaratan kesehatan perumahan dengan persyaratan:,
kedkom-2018,11,Diagnostics,bagaimana langkah-langkah diagnosis komunitas?,
kedkom-2018,12,Recall,beban ganda yang dialami indonesia antara lain:,
kedkom-2018,13,Recall,alasan apa yang mendasarinya?,
kedkom-2018,14,Recall,keuntungan utama kontrasepsi implant adalah:,
kedkom-2018,15,Recall,apa masalah kesehatan yang sedang terjadi berdasarkan data tersebut?,
kedkom-2018,16,Recall,disebut apa jenis rujukan tersebut?,
kedkom-2018,17,Recall,mana dari poin berikut yang bukan termasuk kriteria klb?,
kedkom-2018,18,Recall,apa bagian dari sub sistem yang tidak dapat dikendalikan?,
kedkom-2018,19,Physiology,bagaimana terjadinya penyakit dalam kasus tersebut?,
kedkom-2018,20,Recall,tujuan tersebut ada pada tujuan sdgs:,
kedkom-2018,21,Recall,hal diatas termasuk survailans jenis apa?,
kedkom-2018,22,Recall,"berdasarkan data tersebut, apa tujuan surveilans yang dapat dicapai?",
kedkom-2018,23,Recall,berapakah perbandingan rasio insidensi (medis dibanding paraji)?,
kedkom-2018,24,Recall,termasuk indikator riskesdas 2018 pada kelompok apa data tersebut di atas?,
kedkom-2018,25,Recall,data mana yang termasuk kelompok data rumah tangga?,
kedkom-2018,26,Recall,siapakah narasumber yang perlu diwawancarai untuk pengisian formulir autopsi verbal?,
kedkom-2018,27,Recall,siapakah yang bertugas mengisi formulir autopsi verbal?,
kedkom-2018,28,Recall,disebut apa fungsi dokter ini?,
kedkom-2018,29,Recall,bagaimanakah metode pembayaraan dari bpjs ke klinik yarsi?,
kedkom-2018,30,Recall,berapa lamakah gangguan tersebut harus menetap agar dapat didiagnosis adhd menurut dsm-5?,
kedkom-2018,31,Pharmacology,bagaimanakah rekomendasi skrining pemantauan perkembangan anak yang dianjurkan kemenkes ri?,
kedkom-2018,32,Pharmacology,apa saran utama pencegahan trauma/masalah kaki yang tepat diberikan?,
kedkom-2018,33,Pharmacology,jadwal imunisasi yang benar sesuai rekomendasi kementerian kesehatan ri untuk anak adalah:,
kedkom-2018,34,Recall,berapakah maternal mortality rate (mmr) per 1000 penduduk/kelahiran?,
kedkom-2018,35,Recall,apa strategi promosi kesehatan yang tepat untuk mengatasi hambatan tersebut?,
kedkom-2018,36,Recall,kaidah fikih mana yang digunakan ulama untuk menghalalkan aborsi atas indikasi medis darurat yang mengancam nyawa ibu?,
kedkom-2018,37,Recall,kerugian makro yang dialami suatu negara akibat beban ganda penyakit (double burden of diseases) di bidang kesehatan dapat berdampak pada:,
kedkom-2018,38,Recall,apa hal prinsip yang ditekankan dalam ilmu kesehatan masyarakat?,
kedkom-2018,39,Recall,pernyataan yang tepat mengenai konsep tumbuh kembang anak adalah:,
kedkom-2018,40,Recall,apa yang tergambar dari pencapaian tersebut?,
kedkom-2018,41,Recall,apa pola masalah kesehatan yang terjadi berdasarkan data tersebut?,
kedkom-2018,42,Recall,"dengan meninggalkan segala kegiatan yang dilarang agama seperti miras, mabuk, dan penyalahgunaan zat adiktif merupakan penerapan maqashid syari ah dalam bidang:",
kedkom-2018,43,Pharmacology,termasuk siklus penanggulangan bencana fase apa kondisi penanganan saat ini?,
kedkom-2018,44,Recall,pernyataan yang tepat mengenai parameter dan teknik pengukuran pertumbuhan anak adalah:,
kedkom-2018,45,Pharmacology,ke mana alur pelayanan konsultasi/tindakan yang tepat untuk pasien tersebut?,
kedkom-2018,46,Recall,apa unsur komunikan (penerima pesan) pada kegiatan pelatihan tersebut?,
kedkom-2018,47,Recall,"pada pelatihan kader jumantik agar memiliki kemampuan edukator, apa unsur isi pesan (message) utama yang disampaikan dalam pelatihan?",
kedkom-2018,48,Recall,disebut apa kegiatan tersebut?,
kedkom-2018,49,Pharmacology,berada pada komponen sistem budaya mana institusi keluarga/kelompok sosial tersebut?,
kedkom-2018,50,Recall,langkah pemecahan masalah apa yang paling tepat dilakukan?,
kedkom-2018,51,Pharmacology,"pada kasus rendahnya partisipasi posyandu, siapakah konselor yang paling tepat memfasilitasi konseling jika posyandu memutuskan menyelenggarakannya?",
kedkom-2018,52,Pharmacology,apa bentuk konseling kelompok yang paling tepat?,
kedkom-2018,53,Recall,data cakupan berikut yang tidak esensial diperlukan untuk evaluasi indikator utama kia adalah:,
kedkom-2018,54,Recall,meliputi apa cakupan data yang harus dikumpulkan?,
kedkom-2018,55,Recall,faktor risiko penyakit mana yang tidak dapat diturunkan hanya dengan intervensi edukasi pola hidup?,
kedkom-2018,56,Pharmacology,bagaimana kedudukan operasional rsuk tersebut dalam pelayanan kesehatan wilayah?,
kedkom-2018,57,Recall,dengan cara apa rujukan dapat dilakukan?,
kedkom-2018,58,Recall,"untuk memperlancar upaya kesehatan esensial puskesmas z di wilayah yang luas, dukungan dari mana yang diperlukan?",
kedkom-2018,59,Recall,kapankah suatu puskesmas dapat menyelenggarakan upaya kesehatan pengembangan?,
kedkom-2018,60,Pharmacology,"berdasarkan rumus manajemen risiko bencana (risk = hazard x vulnerability / capacity), mana pernyataan yang tepat?",
kedkom-2018,61,Recall,"pada situasi kluster isolasi mandiri rt 05, bagaimana langkah mengurangi risiko (risk) penularan bagi warga sekitar?",
kedkom-2018,62,Pharmacology,strategi utama promkes apa yang diterapkan?,
kedkom-2018,63,Recall,termasuk dalam goal sdgs berapakah target tersebut?,
kedkom-2018,64,Recall,termasuk dalam goal sdgs mana target tersebut?,
kedkom-2018,65,Recall,apa arti secara bahasa/istilah dari tazkiyatun nafs?,
kedkom-2018,66,Recall,(standar kebutuhan minimal = 10 m2/orang),
kedkom-2018,67,Recall,"berdasarkan indeks bb/tb standar baku antropometri, termasuk dalam kategori apa balita tersebut?",
kedkom-2018,68,Pharmacology,kombinasi imunisasi dasar lengkap yang wajib diberikan pada bayi usia 0-11 bulan menurut kemenkes adalah:,
